ID,Label,Label_latin,Label_untreated,Name,Collective,Name_alternative,Honorific,Family_name,Family_name_alternative,Connector2,Surname,Surname_alternative,Senior/Junior,Alias,Origin_or_residence,Origin,Residence,Sex,Sex_guessing_hits,Sex_guessing_trace,Heretic,Order,Occupation/office,Occupation_general,Occupation_type,Occupation_guess_rank,Occupation_guess,Fugitive,Network,Relations,Footnotes,Notes,Pages_or_folios,Pages_introduction,Pages_footnotes,Original_entry_untreated_parts,Original_entry_complete,Entry_main_editor
931,Peter Eugrin,Petrus Augerii de Podio Danieli,Peter Eugrin of Puydaniel,Peter,,,,Eugrin,,of,Puydaniel,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:217v, XXV:218r",,,,"Peter Eugrin of Puydaniel [Petrus Augerii de Podio Danieli], 101; 217v–218r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
932,Peter Faure,Petrus Faure/Faber de Rocavidal,Peter Faure of Roquevidal,Peter,,,,Faure,,of,Roquevidal,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,smith,smith,craftsman,100,"{u'smith': [[100, u'smith', u'smith', u'craftsman'], [67, u'smith', u'blacksmith', u'manufacturer or qualified worker']]}",,,,,,"XXV:111v, XXV:112r, XXV:182r",,,,"Peter Faure of Roquevidal [Petrus Faure/Faber de Rocavidal], smith, 111v–112r, 182r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
933,Peter Fazenda,Petrus Fazenda de Agennesio,"Peter Fazenda, of the Agenais",Peter,,,,Fazenda,,of,,,,,the Agenais,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,XXV:305v,,,of the Agenais,"Peter Fazenda, of the Agenais [Petrus Fazenda de Agennesio], H, 305v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
934,Peter Feltrier,Petrus Feltrerii,Peter Feltrier,Peter,,,,Feltrier,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,OP,,,churchperson,,,,i,,,,"XXV:246r, XXV:252r, XXV:255v, XXV:259r",,,,"Peter Feltrier [Petrus Feltrerii], OP, 106 n. 218; 246r, 252r, 255v, 259r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
935,Peter Ferrand,Petrus Ferrandi,Peter Ferrand,Peter,,,,Ferrand,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,OP,,,churchperson,,,,i,,,,"XXV:80v, XXV:84v, XXV:124v, XXV:128r, XXV:154v, XXV:156r, XXV:158r, XXV:171v, XXVI:48r",,,,"Peter Ferrand [Petrus Ferrandi], OP, 106 n. 217; 80v, 84v, 124v, 128r, 154v, 156r, 158r, 171v, 48r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
936,Peter Ferrol,Petrus Ferroli de Trebontio,Peter Ferrol of Trébons,Peter,,,,Ferrol,,of,Trébons,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:63v, XXVI:69v, XXVI:64r, XXVI:64v, XXVI:65r, XXVI:65v, XXVI:66r, XXVI:66v, XXVI:67r, XXVI:67v, XXVI:68r, XXVI:68v, XXVI:69r",,,,"Peter Ferrol of Trébons [Petrus Ferroli de Trebontio], 72 n. 19, 75 n. 33, 81, 82; 63v–69v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
937,Peter Fogasset,,Peter Fogasset,Peter,,,,Fogasset,,,,,,,,,,m,m,english_names1(Peter),no,,,,,,,,,,,,,,,,"Peter Fogasset, 134r n. 21, 229v n. 5",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
938,Peter Fogier,"Petrus Fogerii, de Mota","Peter Fogier, of Lamothe",Peter,,,,Fogier,,of,,,,,Lamothe,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:286v,,,of Lamothe,"Peter Fogier, of Lamothe [Petrus Fogerii, de Mota], 286v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
939,Peter Fournier,Petrus Fornerii,Peter Fournier,Peter,,,,Fournier,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:68v, XXV:71r",,,,"Peter Fournier [Petrus Fornerii], 68v, 71r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
940,Peter Galhard,Petrus Galhardi,Peter Galhard,Peter,,,,Galhard,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,N50 Possibly the same as Peter Galhard of Saint-Martin-Lalande.,,"XXV:16v, XXV:18v",,,,"Peter Galhard [Petrus Galhardi],{N50 Possibly the same as Peter Galhard of Saint-Martin-Lalande.} 16v, 18v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
941,Peter Galhard,Petrus Galhardi de Sancto Martino de Landa,Peter Galhard of Saint-Martin-Lalande,Peter,,,,Galhard,,of,Saint-Martin-Lalande,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,N51 Possibly the same as Peter Galhard.,,"XXV:301r, XXV:307r",,,,"Peter Galhard of Saint-Martin-Lalande [Petrus Galhardi de Sancto Martino de Landa],{N51 Possibly the same as Peter Galhard.} 301r, 307r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
942,Peter Garin,Petrus Garini,Peter Garin,Peter,,,,Garin,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:325v,,,,"Peter Garin [Petrus Garini], 325v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
943,Peter Gasc,Petrus Gasc de Savartesio,Peter Gasc of Sabarthès,Peter,,,,Gasc,,of,Sabarthès,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,"XXV:143r, XXV:143v",,,,"Peter Gasc of Sabarthès [Petrus Gasc de Savartesio], H, 143r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
944,Peter Gaubert,,Peter Gaubert,Peter,,,,Gaubert,,,,,,,,,,m,m,english_names1(Peter),h,,,,,,,,,,,,,,,,"Peter Gaubert, H, 45r n. 21",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
945,Peter Gaubert,Petrus Gausberti,Peter Gaubert,Peter,,,,Gaubert,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:112v, XXV:113r",,,,"Peter Gaubert [Petrus Gausberti], 112v–113r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
946,Peter Gaubert,Petrus Gausberti de Podio Laurentio,Peter Gaubert of Puylaurens,Peter,,,lord,Gaubert,,of,Puylaurens,,,,,,,m,mmmm,english_names1(Peter) latin_names1(Petrus) latin_guess1 gender_role1(lord),no,,,,,,,,,,,,XXV:30v,,,,"Peter Gaubert of Puylaurens [Petrus Gausberti de Podio Laurentio], lord, 47; 30v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
947,Peter Gautan,Petrus Gautani,Peter Gautan,Peter,,,,Gautan,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXVI:76v,,,,"Peter Gautan [Petrus Gautani], 76v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
948,Peter Gerald,Petrus Geraudi de Monteiovis,Peter Gerald of Montgey,Peter,,,,Gerald,,of,Montgey,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:8r, XXVI:10r, XXVI:8v, XXVI:9r, XXVI:9v",,,,"Peter Gerald of Montgey [Petrus Geraudi de Monteiovis], 54, 72 n. 18, 75 n. 33, 81, 82; 8r–10r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
949,Peter Grieu,Petrus Grivi de Fanoiovis,Peter Grieu of Fanjeaux,Peter,,,,Grieu,,of,Fanjeaux,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:301r,,,,"Peter Grieu of Fanjeaux [Petrus Grivi de Fanoiovis], 301r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
950,Peter Grimaud,Petrus Gimaudi de Monteiovis,Peter Grimaud of Montgey,Peter,,,,Grimaud,,of,Montgey,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:9r, XXVI:9v, XXVI:10v",,,,"Peter Grimaud of Montgey [Petrus Gimaudi de Monteiovis], <9r–v>, <10v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
951,Peter Gui,Petrus Guidonis de Soricino,Peter Gui of Sorèze,Peter,,,,Gui,,of,Sorèze,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:41v, XXVI:42r",,,,"Peter Gui of Sorèze [Petrus Guidonis de Soricino], 41v–42r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
952,Peter Guiraman,Petrus Guiraman,Peter Guiraman,Peter,,,,Guiraman,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,weaver,weaver,craftsman,100,"{u'weaver': [[100, u'weaver', u'weaver', u'craftsman'], [67, u'weaver', u'healer', u'service-provider']]}",,,,,,"XXV:189r, XXV:189v",,,,"Peter Guiraman [Petrus Guiraman], weaver, 189r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
953,Peter Guiraud,Petrus Guiraudi de Soricino,Peter Guiraud of Sorèze,Peter,,,,Guiraud,,of,Sorèze,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,"XXV:267r, XXVI:41v, XXVI:42r",,,,"Peter Guiraud of Sorèze [Petrus Guiraudi de Soricino], H, 267r, 41v–42r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
954,Peter Isarn,Petrus Isarni de Sestairol/Sestarollo,Peter Isarn of Cestayrols,Peter,,,,Isarn,,of,Cestayrols,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,"XXV:55r, XXV:59v, XXV:61r, XXV:61v, XXV:164v",,,,"Peter Isarn of Cestayrols [Petrus Isarni de Sestairol/Sestarollo], knight, 95; 55r, 59v, 61r–v, 164v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
955,Peter John,Petrus Iohannis de Garda,Peter John of Lagarde,Peter,,,,John,,of,Lagarde,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:141r, XXV:142r, XXV:142v",,,,"Peter John of Lagarde [Petrus Iohannis de Garda], 141r, 142r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
956,Peter Jordan,Petrus Jordani,Peter Jordan,Peter,,,,Jordan,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:31v,,,marked with a cross for heresy,"Peter Jordan [Petrus Jordani], marked with a cross for heresy, 31v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
957,Peter Lobet,Petrus Lobeti de Cordua,Peter Lobet of Cordes,Peter,,,,Lobet,,of,Cordes,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:56v,,,,"Peter Lobet of Cordes [Petrus Lobeti de Cordua], 56v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
958,Peter Mans,Petrus Mancii de Soricino,Peter Mans of Sorèze,Peter,,,,Mans,,of,Sorèze,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:267r, XXV:287v",,,,"Peter Mans of Sorèze [Petrus Mancii de Soricino], 267r, 287v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
959,(wife of Peter Mans of Sorèze),,—wife of,,,,,,,,,,,,,,,f,f,gender_role1 (wife),no,,,,,,,,,,,,XXV:287v,,,,"—wife of, 287v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
960,Peter Marvada,Petrus Marvada de Caturcino,Peter Marvada of Quercy,Peter,,,,Marvada,,of,Quercy,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:245v,,,,"Peter Marvada of Quercy [Petrus Marvada de Caturcino], 245v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
961,Peter Massa,Petrus Massa de Monte Aurioli,Peter Massa of Montauriol,Peter,,,,Massa,,of,Montauriol,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,weaver,weaver,craftsman,100,"{u'weaver': [[100, u'weaver', u'weaver', u'craftsman'], [67, u'weaver', u'healer', u'service-provider']]}",fugitive,,,,,"XXV:143v, XXV:304v",,,,"Peter Massa of Montauriol [Petrus Massa de Monte Aurioli], weaver, fugitive, 143v, 304v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
962,Peter Massabeu,Petrus Massabeu/Massabueu,Peter Massabeu,Peter,,,,Massabeu,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,chaplain of Espinas,chaplain,churchperson,,first word,,,,,,"XXV:179v, XXV:181v",,,,"Peter Massabeu [Petrus Massabeu/Massabueu], chaplain of Espinas, 179v, 181v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
963,Peter Matthew,Petrus Mathei de Monte Mauro,Peter Matthew of Montmaur,Peter,,,,Matthew,,of,Montmaur,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:307r,,,,"Peter Matthew of Montmaur [Petrus Mathei de Monte Mauro], 307r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
964,Peter Maurel,Petrus Maurelli de Auriaco,Peter Maurel of Auriac,Peter,,,,Maurel,,of,Auriac,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,messenger of the Lombard heretics,deacon of the heretics,dissident minister,65,"{u'messenger of the Lombard heretics': [[65, u'messenger of the Lombard heretics', u'deacon of the heretics', u'dissident minister'], [62, u'messenger of the Lombard heretics', u'bishop of the heretics', u'dissident minister']]}",fugitive,,,,,"XXV:16v, XXV:17r, XXV:18r, XXV:18v, XXV:38r, XXV:46r, XXV:46v, XXV:47v, XXV:48v, XXV:48r, XXV:76v, XXV:100v, XXV:122v, XXV:244v, XXV:307v, XXVI:15r, XXVI:21v, XXVI:22v, XXVI:22r, XXVI:24v, XXVI:25r, XXVI:29r, XXVI:31v, XXVI:33r, XXVI:34r, XXVI:35v",,,messenger of the Lombard heretics,"Peter Maurel of Auriac [Petrus Maurelli de Auriaco], fugitive, messenger of the Lombard heretics, 16v–17r, 18r–v, 38r, 46r–v, 47v–48v, 76v, 100v, 122v, 244v, 307v, 15r, 21v–22v, 24v–25r, 29r, 31v, 33r, 34r, 35v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
965,Peter Mercadier,Petrus Mercaderii,Peter Mercadier,Peter,,,,Mercadier,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:13r, XXVI:13v, XXVI:26v, XXVI:27r",,,,"Peter Mercadier [Petrus Mercaderii], 13r–v, 26v–27r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
966,Peter Moiss,Petrus Moiss de Engarravacas,Peter Moiss of Garrevaques,Peter,,,,Moiss,,of,Garrevaques,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXVI:37v,,,,"Peter Moiss of Garrevaques [Petrus Moiss de Engarravacas], 37v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
967,Peter Mulatier,Petrus Mulaterii,Peter Mulatier,Peter,,,,Mulatier,,,,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:306v,,,,"Peter Mulatier [Petrus Mulaterii], 306v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
968,Peter of Algans,Petrus de Algarius/Dalgarns de Rocavidal,"Peter of Algans of Roquevidal, the elder",Peter,,,,,,of,Algans,,Sr,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,the elder,healer,service-provider,67,"{u'the elder': [[67, u'the elder', u'healer', u'service-provider']]}",,,,,,"XXV:124r, XXV:124v",,,the elder,"Peter of Algans of Roquevidal, the elder [Petrus de Algarius/Dalgarns de Rocavidal], 124r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
969,Peter of Algans,Petrus de Algarius de Rocavidal,Peter of Algans of Roquevidal (the younger),Peter,,,,,,of,Algans,,Jr,,Roquevidal,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:124r,,,,"Peter of Algans of Roquevidal (the younger) [Petrus de Algarius de Rocavidal], 124r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
970,Peter of Area,Petrus de Area de Soricino,Peter of Area of Sorèze,Peter,,,,,,of,Area,,,,Sorèze,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,XXV:281v,,,,"Peter of Area of Sorèze [Petrus de Area de Soricino], H, 281v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
971,Peter of Beauville,Petrus de Bueuvilla/Bouvilla/Beuvila de Avinione,Peter of Beauville of Avignonet,Peter,,,,,,of,Beauville,,,,Avignonet,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,fugitive,,,,,"XXV:131v, XXV:141v, XXV:144r, XXV:144v, XXV:146r, XXV:245v, XXVI:297r, XXVI:2v, XXVI:16r, XXVI:21v, XXVI:55v, XXVI:56r, XXVI:70v",,,,"Peter of Beauville of Avignonet [Petrus de Bueuvilla/Bouvilla/Beuvila de Avinione], fugitive, 31, 72 n. 18, 72 n. 19, 73, 75 n. 33, 76, 78, 85, 103, 113–114; 131v, 141v, 144r–v, 146r, 245v, 297r-2v, 16r, 21v, 55v–56r, 70v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
972,Peter of Biules,Petrus de Biules de Soricino,Peter of Biules of Sorèze,Peter,,,,,,of,Biules,,,,Sorèze,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:270v,,,,"Peter of Biules of Sorèze [Petrus de Biules de Soricino], 270v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
973,Peter of Bauzelle,Petrus de Bosaucela,Peter of Bauzelle,Peter,,,,,,of,Bauzelle,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:261v,,,,"Peter of Bauzelle [Petrus de Bosaucela], 261v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
974,Peter of Bugat,Petrus de Bugato/Bugat de Rupe Vital’,Peter of Bugat of Roquevidal,Peter,,,,,,of,Bugat,,,,Roquevidal,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXV:73v, XXV:74r, XXV:74v, XXV:75v, XXV:77r, XXV:79r, XXV:80r, XXV:81v, XXV:82r, XXV:93v, XXV:106v, XXV:107r, XXV:110v, XXV:123v",,,,"Peter of Bugat of Roquevidal [Petrus de Bugato/Bugat de Rupe Vital’], 73v–74r, 74v, 75v, 77r, 79r, 80r, 81v–82r, 93v, 106v–107r, 110v, 123v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
975,Peter of Cahors,Petrus de Caors,Peter of Cahors,Peter,,,,,,of,Cahors,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,XXV:307r,,,,"Peter of Cahors [Petrus de Caors], H, 307r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
976,Peter of Caussére,Petrus de Caucer’,Peter of Caussére,Peter,,,,,,of,Caussére,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,,,,,,,,"XXV:292r, XXV:295r",,,,"Peter of Caussére [Petrus de Caucer’], H, 292r, 295r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
977,Peter of Cahuzac,Petrus de Causaco de Sancto Antonino,Peter of Cahuzac of Saint-Antonin,Peter,,,,,,of,Cahuzac,,,,Saint-Antonin,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:207v,,,,"Peter of Cahuzac of Saint-Antonin [Petrus de Causaco de Sancto Antonino], 207v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
978,Peter of Corneilhan,Petrus de Corneliano,Peter of Corneilhan,Peter,,,,,,of,Corneilhan,,,,,,,m,mmmm,english_names1(Peter) latin_names1(Petrus) latin_guess1 gender_role1(monk),no,,monk of Sorèze,monk,churchperson,,first word,,,,,,"XXV:268r, XXV:277r, XXV:292r, XXV:295v, XXVI:9v, XXVI:30r",,,,"Peter of Corneilhan [Petrus de Corneliano], monk of Sorèze, 268r, 277r, 292r, 294v n. 11, 295v, 9r n. 3, 9v, 30r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
979,Peter of Corona,,Peter of Corona,Peter,,,,,,of,Corona,,,,,,,m,m,english_names1(Peter),h,,deacon of the heretics of Catalonia,deacon of the heretics,dissident minister,77,"{u'deacon of the heretics of Catalonia': [[77, u'deacon of the heretics of Catalonia', u'deacon of the heretics', u'dissident minister']]}",,,,,,,,,deacon of the heretics of Catalonia,"Peter of Corona, H, deacon of the heretics of Catalonia, 303v n. 33",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
980,Peter of Dreuilhe (i),Petrus de Drulia,Peter of Dreuilhe (i),Peter,,,,,,of,Dreuilhe (i),,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,"XXV:267v, XXV:268r, XXV:295v, XXVI:30r",,,,"Peter of Dreuilhe (i) [Petrus de Drulia], knight, 267v–268r, 295v, 30r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
981,Peter of Dreuilhe (ii),Petrus de Drulia,Peter of Dreuilhe (ii),Peter,,,,,,of,Dreuilhe (ii),,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,XXV:267v,,,,"Peter of Dreuilhe (ii) [Petrus de Drulia], knight, 267v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
982,Peter of Dreuilhe,,Peter of Dreuilhe,Peter,,,,,,of,Dreuilhe,,,,,,,m,m,english_names1(Peter),no,,,,,,,,,,N52 Could be the same as Peter of Dreuilhe (ii).,,,,,,"Peter of Dreuilhe,{N52 Could be the same as Peter of Dreuilhe (ii).} 55",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
983,Peter of Fradeus,Petrus de Fradeus,Peter of Fradeus,Peter,,,,,,of,Fradeus,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:222v,,,Cistercian Brother,"Peter of Fradeus [Petrus de Fradeus], Cistercian Brother, 222v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
984,Peter of Frouzins,Petrus de Frosenxs,Peter of Frouzins,Peter,,,,,,of,Frouzins,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:8v,,,,"Peter of Frouzins [Petrus de Frosenxs], 8v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
985,Peter of Garrissou,Petrus de Garrisso,Peter of Garrissou,Peter,,,,,,of,Garrissou,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,"XXVI:39r, XXVI:39v",,,,"Peter of Garrissou [Petrus de Garrisso], 39r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
986,Peter of Graissens,Petrus de Graissenx de Sancto Paulo (de Cadaiovis),Peter of Graissens of Saint-Paul-Cap-de-Joux,Peter,,,,,,of,Graissens,,,,Saint-Paul-Cap-de-Joux,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:32r,,,,"Peter of Graissens of Saint-Paul-Cap-de-Joux [Petrus de Graissenx de Sancto Paulo (de Cadaiovis)], 32r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
987,Peter of Juzes,Petrus de Iusa,Peter of Juzes,Peter,,,,,,of,Juzes,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:292v,,,,"Peter of Juzes [Petrus de Iusa], 292v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
988,Peter of Lacalm,Petrus de Calm,Peter of Lacalm,Peter,,,,,,of,Lacalm,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXV:178v,,,,"Peter of Lacalm [Petrus de Calm], 178v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
989,Peter of La Rivière,"Petrus de Ripparia, de Sancto Paulo","Peter of La Rivière, of Saint-Paul",Peter,,,,,,of,La Rivière,,,,Saint-Paul,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,,,,,,,,,,,XXVI:29v,,,of Saint-Paul,"Peter of La Rivière, of Saint-Paul [Petrus de Ripparia, de Sancto Paulo], <29v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
990,Peter of Laroque,Petrus de Ruppe,Peter of Laroque,Peter,,,,,,of,Laroque,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,no,,master,master,free profession,100,"{u'master': [[100, u'master', u'master', u'free profession']]}",,,,,,XXV:228r,,,,"Peter of Laroque [Petrus de Ruppe], master, 228r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
991,Peter of Lassus,Petrus de Lassus/Laissus,Peter of Lassus,Peter,,,,,,of,Lassus,,,,,,,m,mmm,english_names1(Peter) latin_names1(Petrus) latin_guess1,h,,,,,63,"{u'converted': [[63, u'converted', u'cowherd', u'production'], [63, u'converted', u'cowherd', u'production-worker']]}",,d,,,"Part of the mentions is in the ""d"" network, part is identification (brother of Peter of Lassus), none is ""i"".","XXV:66r, XXV:143v, XXV:144v, XXV:304v, XXVI:26v, XXVI:32v, XXVI:38v",,,converted,"Peter of Lassus [Petrus de Lassus/Laissus], H, converted, 66r, 143v, 144v, 304v, 26v, 32v, 38v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
